Pool,Title,Author,Publication Title,Vote_1,Vote_2,Final_Decision,Rationale
Pool 2 (C&D),Integrity-based Explanations for Fostering Appropriate Trust in AI Agents,"Mehrotra, Siddharth; Jorge, Carolina Centeio; Jonker, Catholijn M.; Tielman, Myrthe L.",ACM Trans. Interact. Intell. Syst.,Exclude,Include,Include,"Interaction focus, with outcome. AI purpose implied"
Pool 2 (C&D),"Inter-agent trust models: A comparative study of Brief, claim, Proof, Stake, reputation and Constraint in agentic web protocol design-A2A, AP2, ERC-8004, and beyond","Hu, Botao 'amber; Rong, Helena",,Include,For Consideration,Include,"Considered as unsure if met ""interaction"" criteria; accepted as implied "
Pool 2 (C&D),Interaction context often increases sycophancy in LLMs,"Jain, Shomik; Park, Charlotte; Viana, Matt; Wilson, Ashia; Calacci, Dana",,Exclude,Include,Include,"exclusion considered as venue field is missing, content otherwise relevant"
Pool 2 (C&D),Investigating CoT Monitorability in large Reasoning Models,"Yang, Shu; Wu, Junchao; Gong, Xilin; Wu, Xuansheng; Wong, Derek; Liu, Ninghao; Wang, Di",,For Consideration,Include,Include,Dark patterns and interaction focus implied; obfuscation considered as dark pattern
Pool 2 (C&D),Investigating the impact of dark patterns on LLM-based web agents,"Ersoy, Devin; Lee, Brandon; Shreekumar, Ananth; Arunasalam, Arjun; Ibrahim, Muhammad; Bianchi, Antonio; Celik, Z Berkay",,For Consideration,Include,Exclude,Covers Use of LLMs to detect dark patterns in traditional GUIs. 
Pool 2 (C&D),Invisible saboteurs: Sycophantic LLMs mislead novices in problem-solving tasks,"Bo, Jessica Y; Kazemitabaar, Majeed; Deng, Mengqing; Inzlicht, Michael; Anderson, Ashton",,Exclude,Include,Include,Considered for exclusion due to missing venue; content otherwise sound
Pool 2 (C&D),"Is Your Prompt Detailed Enough?: Exploring the Effects of Prompt Coaching on Users' Perceptions, Engagement, and Trust in Text-to-Image Generative AI Tools","Chen, C.; Lee, S.; Jang, E.; Sundar, S.S.",,For Consideration,Exclude,Exclude,Focus on affects of prompting literacy; no mention of dark patterns
Pool 2 (C&D),LLM Whisperer: An Inconspicuous Attack to Bias LLM Responses,"Lin, Weiran; Gerchanovsky, Anna; Akgul, Omer; Bauer, Lujo; Fredrikson, Matt; Wang, Zifan",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Include,For Consideration,Include,perturbing inputs with synonyms has a drastic effect on outcomes; agreement that this constitutes a dark pattern
Pool 2 (C&D),LLM-Powered Embodied Intelligence for Socially-Aware Robot Navigation in Human-Robot Interaction,"Liu, Xuqing; Farid, Ahmed; Amano, Tatsuya; Rizk, Hamada; Yamaguchi, Hirozumi",Proceedings of the 19th International Symposium on Spatial and Temporal Data,Include,Exclude,Exclude,No explicit mention of dark patterns
Pool 2 (C&D),"Large Language Models in Programming: A Meta-Analysis of Tools, Users, and Human-Computer Interaction Themes","Olivares, D.M.; Bennington, C.; Skillestad, A.",Applied Human Factors and Ergonomics International,Exclude,For Consideration,Exclude,No explicit mention of dark patterns
