Pool,Title,Author,Publication Title,Vote_1,Vote_2,Final_Decision,Rationale
Pool 1 (A&B),"""Help Me Help the AI"": Understanding How Explainability Can Support Human-AI Interaction","Kim, Sunnie S. Y.; Watkins, Elizabeth Anne; Russakovsky, Olga; Fong, Ruth; Monroy-Hernández, Andrés",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,Exclude,For Consideration,Exclude,There are potentially papers out for addressing the background information around dark patterns.
Pool 1 (A&B),"""I'm Not Sure, But..."": Examining the Impact of Large Language Models' Uncertainty Expression on User Reliance and Trust","Kim, Sunnie S. Y.; Liao, Q. Vera; Vorvoreanu, Mihaela; Ballard, Stephanie; Vaughan, Jennifer Wortman","Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency",Include,For Consideration,Include,Paper has good information on the impact of uncertainty in natural language - good to link with sycophancy
Pool 1 (A&B),"""It's Not the AI's Fault Because It Relies Purely on Data"": How Causal Attributions of AI Decisions Shape Trust in AI Systems","Pareek, Saumya; Schömbs, Sarah; Velloso, Eduardo; Goncalves, Jorge",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Exclude,For Consideration,Include,Addresses RQ1 on mechanisms of producing dark patterns
Pool 1 (A&B),"""Mango Mango, How to Let The Lettuce Dry Without A Spinner?"": Exploring User Perceptions of Using An LLM-Based Conversational Assistant Toward Cooking Partner","Chan, Szeyi; Li, Jiachen; Yao, Bingsheng; Mahmood, Amama; Huang, Chien-Ming; Jimison, Holly; Mynatt, Elizabeth D.; Wang, Dakuo",Proc. ACM Hum.-Comput. Interact.,Include,For Consideration,Include,(STRICT INCLUDE) Included as it speaks about potential conversational manipulation + includes design considerations for future development
Pool 1 (A&B),"""Was there Bias in your Response?"": LLM Anthropomorphic Traits in Context of Ability Bias Questioning","Iyer, N.; Pradhan, A.",,Include,For Consideration,Include,Many forms of dark patterns explained
Pool 1 (A&B),"50 Shades of Deceptive Patterns: A Unified Taxonomy, Multimodal Detection, and Security Implications","Shi, Z.; Sun, R.; Chen, J.; Sun, J.; Xue, M.; Gao, Y.; Liu, F.; Yuan, X.",,Exclude,Include,Include,Addresses RQ1 - explores how LLMs combat dark patterns + provides strong foundational premise of dark patterns
Pool 1 (A&B),9 Personalized persuasion for behavior change,"Masthoff, Judith; Vassileva, Julita",Personalized Human-Computer Interaction,Exclude,Include,Exclude,More of a theoretical paper on persuasive technology rather than an empirical study on AI Dark Patterns
Pool 1 (A&B),A Matter of Perspective(s): Contrasting Human and LLM Argumentation in Subjective Decision-Making on Subtle Sexism,"Aoyagui, Paula Akemi; Stemmler, Kelsey; Ferguson, Sharon A; Kim, Young-Ho; Kuzminykh, Anastasia",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,For Consideration,Exclude,Exclude,Only potential manipulation + too specific of a scenario
Pool 1 (A&B),A Practical Analysis of Persuasive and Dark Patterns for IIoT and Industrial Cyber-Physical Systems,"Ramil-López, Diego; Fraga-Lamas, Paula; Fernández-Caramés, Tiago M.",2024 IEEE SENSORS,Exclude,For Consideration,Exclude,Lack of focus on LLM Interaction + too distinct from traditional dark patterns.
Pool 1 (A&B),"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions","Huang, Lei; Yu, Weijiang; Ma, Weitao; Zhong, Weihong; Feng, Zhangyin; Wang, Haotian; Chen, Qianglong; Peng, Weihua; Feng, Xiaocheng; Qin, Bing; Liu, Ting",ACM Trans. Inf. Syst.,Exclude,For Consideration,Exclude,"This paper is a taxonomy / survey on LLM hallucinations, not a study that directly examines conversational manipulation"
Pool 1 (A&B),A Survey on Trustworthy LLM Agents: Threats and Countermeasures,"Yu, Miao; Meng, Fanci; Zhou, Xinyun; Wang, Shilong; Mao, Junyuan; Pan, Linsey; Chen, Tianlong; Wang, Kun; Li, Xinfeng; Zhang, Yongfeng; An, Bo; Wen, Qingsong",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,Exclude,For Consideration,Exclude,Not an empirical HCI study - more technical on theory that's not related to the dark patterns domain
Pool 1 (A&B),A Unified Browser-Based Consent Management Framework,"Kancherla, Gayatri Priyadarsini; Bichhawat, Abhishek",2025 IEEE/ACM 47th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),Exclude,For Consideration,Exclude,Main focus on website dark patterns as opposed to LLM dark patterns
Pool 1 (A&B),A Vision for Value-Aligned AI-Driven Systems,"Obie, Humphrey O.",2025 2nd IEEE/ACM International Conference on AI-powered Software (AIware),Exclude,For Consideration,Exclude,"it is a vision / framework paper on value‑aligned software engineering, not an empirical HCI study on conversational manipulation, deception, or dark patterns in AI interfaces."
Pool 1 (A&B),AI Alignment: A Contemporary Survey,"Ji, Jiaming; Qiu, Tianyi; Chen, Boyuan; Zhou, Jiayi; Zhang, Borong; Hong, Donghai; Lou, Hantao; Wang, Kaile; Duan, Yawen; He, Zhonghao; Vierling, Lukas; Zhang, Zhaowei; Zeng, Fanzhi; Dai, Juntao; Pan, Xuehai; Xu, Hua; O'Gara, Aidan; Ng, Kwan; Tse, Brian; Fu, Jie; Mcaleer, Stephen; Wang, Yanfeng; Yang, Mingchuan; Liu, Yunhuai; Wang, Yizhou; Zhu, Song-Chun; Guo, Yike; Yang, Yaodong; Gao, Wen",ACM Comput. Surv.,Exclude,For Consideration,Exclude,General trust-AI survey as opposed to empirical study.
Pool 1 (A&B),AI chaperones are (really) all you need to prevent parasocial relationships with chatbots,"Rath, Emma; Armstrong, Stuart; Gorman, Rebecca",,Include,For Consideration,Include,Agreed as background context
Pool 1 (A&B),AI hallucination from students' perspective: A thematic analysis,"Shoufan, Abdulhadi; Esmaeil, Ahmad-Azmi-Abdelhamid",,Include,For Consideration,Include,Agreed as background context - references on sycophancy (primary dark pattern)
Pool 1 (A&B),AI will always love you: Studying implicit biases in romantic AI companions,"Grogan, Clare; Kay, Jackie; Pérez-Ortiz, María",,Include,For Consideration,Include,Agreed as background context - references on sycophancy (primary dark pattern)
Pool 1 (A&B),AI-driven adaptive website content for digital well-being,"Niranjan Badde Liyanage Don, S.; Hettiarachchige Don, N.; Visuri, A.",,Exclude,Include,Include,Focus on GUI LLM Dark Patterns but could be useful later depending on scope change
Pool 1 (A&B),AInsight: Augmenting Expert Decision-Making with On-the-Fly Insights Grounded in Historical Data,"Abolnejadian, Mohammad; Amirshahi, Shakiba; Brehmer, Matthew; Crisan, Anamaria",Proceedings of the 7th ACM Conference on Conversational User Interfaces,Include,Exclude,Include,Background Research of LLM responses in medical context - worth exploring the content of the LLM responses
Pool 1 (A&B),AIoT-Driven Health Behavioral Security: Vision and Challenges,"Nakamura, Yugo",ACM Trans. Comput. Healthcare,Exclude,For Consideration,Exclude,Too theoretical and broad
Pool 1 (A&B),Accommodation and epistemic vigilance: A pragmatic account of why LLMs fail to challenge harmful beliefs,"Cheng, Myra; Hawkins, Robert D; Jurafsky, Dan",,Include,Exclude,Include,Has useful frameworks on detecting dark patterns which could be useful to read about (RQ3)
Pool 1 (A&B),Acting flatterers via LLMs sycophancy: Combating clickbait with LLMs opposing-stance reasoning,"Zhang, Chaowei; Luo, Xiansheng; Zhang, Zewei; Zhu, Yi; Qiang, Jipeng; Wang, Longwei",,Exclude,Include,Include,Good paper for solving sycophancy (RQ3)
Pool 1 (A&B),Alignment without understanding: A message- and conversation-centered approach to understanding AI sycophancy,"Du, Lihua; Lyu, Xing; Xie, Lezi; Feng, Bo",,Include,For Consideration,Include,Rich on Sycophancy theoretical information
